"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDIL","EQ","12-Dec-2013","         49.90","         49.50","         50.90","         49.30","         49.60","         49.95","         50.16","    7935466","       3980.34","      26667","     952722","         12.01"
"HDIL","EQ","13-Dec-2013","         49.95","         49.15","         49.70","         48.00","         48.25","         48.25","         48.78","    7506818","       3661.87","      27607","    1751410","         23.33"
"HDIL","EQ","16-Dec-2013","         48.25","         47.90","         48.70","         47.15","         47.30","         47.45","         47.83","    5765597","       2757.81","      16508","     490854","          8.51"
"HDIL","EQ","17-Dec-2013","         47.45","         47.55","         48.50","         46.10","         46.35","         46.45","         47.19","    6739989","       3180.61","      22683","     922525","         13.69"
"HDIL","EQ","18-Dec-2013","         46.45","         46.80","         50.05","         46.60","         49.95","         49.70","         48.69","   11485012","       5591.81","      34449","    1808695","         15.75"
"HDIL","EQ","19-Dec-2013","         49.70","         50.55","         50.60","         47.50","         47.70","         48.05","         48.72","    9501923","       4629.68","      24660","    1399736","         14.73"
"HDIL","EQ","20-Dec-2013","         48.05","         47.95","         51.30","         47.50","         51.15","         50.90","         49.74","   10759836","       5351.43","      38851","    2032674","         18.89"
"HDIL","EQ","23-Dec-2013","         50.90","         51.00","         55.95","         50.90","         54.60","         54.85","         54.59","   24016236","      13111.53","      71175","    3267986","         13.61"
"HDIL","EQ","24-Dec-2013","         54.85","         54.75","         55.75","         54.20","         54.95","         54.90","         54.95","   12732734","       6996.29","      34584","    1375235","         10.80"
"HDIL","EQ","26-Dec-2013","         54.90","         54.80","         55.90","         53.15","         55.00","         54.40","         54.52","   16466705","       8977.05","      33273","    4310902","         26.18"
"HDIL","EQ","27-Dec-2013","         54.40","         55.00","         55.90","         53.50","         53.95","         53.95","         54.51","    9698311","       5286.48","      28456","    1379987","         14.23"
"HDIL","EQ","30-Dec-2013","         53.95","         54.50","         55.10","         53.25","         53.35","         53.60","         53.99","    7359857","       3973.62","      19420","    1271300","         17.27"
"HDIL","EQ","31-Dec-2013","         53.60","         53.70","         54.25","         53.10","         53.35","         53.50","         53.65","    5403283","       2898.92","      16111","     922572","         17.07"
"HDIL","EQ","01-Jan-2014","         53.50","         53.85","         55.85","         53.50","         55.55","         55.60","         55.06","   10726281","       5906.14","      27466","    1881790","         17.54"
"HDIL","EQ","02-Jan-2014","         55.60","         55.65","         56.75","         52.10","         52.35","         52.35","         54.76","   11370127","       6225.73","      29842","    1904658","         16.75"
"HDIL","EQ","03-Jan-2014","         52.35","         52.00","         53.90","         51.30","         53.80","         53.55","         52.67","   10214757","       5380.01","      29917","    1051825","         10.30"
"HDIL","EQ","06-Jan-2014","         53.55","         53.45","         53.85","         52.40","         53.35","         53.20","         53.10","    6950100","       3690.19","      18387","     903883","         13.01"
"HDIL","EQ","07-Jan-2014","         53.20","         53.10","         54.35","         51.50","         52.00","         52.20","         52.62","   11560606","       6083.71","      27088","    2903380","         25.11"
"HDIL","EQ","08-Jan-2014","         52.20","         52.55","         53.95","         52.25","         53.25","         53.35","         53.28","    7693744","       4099.34","      22365","     957843","         12.45"
"HDIL","EQ","09-Jan-2014","         53.35","         53.45","         53.65","         50.00","         50.55","         50.40","         51.34","    9999667","       5133.45","      31382","    1649847","         16.50"
"HDIL","EQ","10-Jan-2014","         50.40","         50.70","         52.40","         49.40","         49.75","         49.70","         50.90","   10427128","       5307.06","      30671","     818503","          7.85"
"HDIL","EQ","13-Jan-2014","         49.70","         49.80","         51.00","         48.25","         49.95","         49.80","         49.58","    9125991","       4524.76","      33564","    1033842","         11.33"
"HDIL","EQ","14-Jan-2014","         49.80","         49.90","         50.90","         49.20","         49.60","         49.55","         49.91","   12322921","       6150.06","      31689","    4480858","         36.36"
"HDIL","EQ","15-Jan-2014","         49.55","         49.85","         51.45","         49.75","         51.15","         51.20","         50.62","    8514932","       4310.58","      24644","    1789800","         21.02"
"HDIL","EQ","16-Jan-2014","         51.20","         51.50","         51.75","         50.10","         50.50","         50.55","         50.80","    7788776","       3956.79","      24670","     771637","          9.91"
"HDIL","EQ","17-Jan-2014","         50.55","         50.55","         51.25","         48.25","         48.65","         48.60","         49.61","    9364549","       4645.72","      27796","    1278389","         13.65"
"HDIL","EQ","20-Jan-2014","         48.60","         48.55","         49.80","         48.00","         49.70","         49.50","         48.90","    8197569","       4008.97","      24410","     723927","          8.83"
"HDIL","EQ","21-Jan-2014","         49.50","         49.30","         51.10","         49.30","         51.00","         50.75","         50.23","    7938402","       3987.49","      28205","     969682","         12.22"
"HDIL","EQ","22-Jan-2014","         50.75","         50.85","         51.00","         49.85","         50.55","         50.65","         50.49","    6845814","       3456.30","      22844","     440811","          6.44"
"HDIL","EQ","23-Jan-2014","         50.65","         50.15","         50.90","         50.00","         50.25","         50.40","         50.39","    6000924","       3023.61","      22926","     788410","         13.14"
"HDIL","EQ","24-Jan-2014","         50.40","         50.00","         50.00","         47.85","         48.25","         48.10","         48.72","    7225674","       3520.37","      21075","    1151953","         15.94"
"HDIL","EQ","27-Jan-2014","         48.10","         46.95","         47.20","         40.90","         42.05","         41.85","         43.60","   17408027","       7589.14","      51036","    3164206","         18.18"
"HDIL","EQ","28-Jan-2014","         41.85","         42.20","         44.80","         41.40","         44.60","         44.45","         43.42","   17592427","       7637.85","      55281","    1697761","          9.65"
"HDIL","EQ","29-Jan-2014","         44.45","         44.95","         45.65","         43.55","         44.50","         44.20","         44.52","    9373634","       4172.97","      25709","     755482","          8.06"
"HDIL","EQ","30-Jan-2014","         44.20","         43.40","         43.50","         40.30","         41.20","         41.20","         41.35","   13783869","       5700.26","      38643","    2943210","         21.35"
"HDIL","EQ","31-Jan-2014","         41.20","         41.80","         42.50","         40.00","         42.45","         42.25","         41.72","   10843130","       4523.49","      31837","    1059510","          9.77"
"HDIL","EQ","03-Feb-2014","         42.25","         42.20","         42.25","         39.80","         40.20","         40.10","         40.60","    9846312","       3997.38","      26421","    1849174","         18.78"
"HDIL","EQ","04-Feb-2014","         40.10","         39.50","         42.65","         38.70","         41.75","         42.10","         41.14","   14487890","       5960.30","      35859","    1693333","         11.69"
"HDIL","EQ","05-Feb-2014","         42.10","         41.85","         43.25","         41.05","         42.85","         42.90","         42.32","   12327721","       5217.08","      34210","    2594906","         21.05"
"HDIL","EQ","06-Feb-2014","         42.90","         43.00","         43.20","         40.80","         41.90","         42.00","         41.94","   11228530","       4708.80","      27906","    1346652","         11.99"
