"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","12-Dec-2014","        314.05","        313.65","        316.90","        309.00","        312.05","        311.35","        312.84","   11727933","      36690.11","     108669","    4396033","         37.48"
"SBIN","EQ","15-Dec-2014","        311.35","        308.30","        316.00","        307.55","        309.60","        310.55","        312.25","   15117938","      47205.59","     150237","    7079490","         46.83"
"SBIN","EQ","16-Dec-2014","        310.55","        308.10","        311.00","        293.00","        294.90","        295.60","        301.10","   20951938","      63086.92","     211851","    8079122","         38.56"
"SBIN","EQ","17-Dec-2014","        295.60","        294.40","        306.40","        287.00","        302.85","        301.75","        297.83","   28290440","      84258.05","     273555","    9555900","         33.78"
"SBIN","EQ","18-Dec-2014","        301.75","        310.80","        312.60","        304.50","        307.00","        307.10","        308.43","   18921827","      58360.48","     175235","    8562602","         45.25"
"SBIN","EQ","19-Dec-2014","        307.10","        311.55","        312.00","        303.50","        304.15","        304.15","        307.23","   14130478","      43413.51","     128865","    4695679","         33.23"
"SBIN","EQ","22-Dec-2014","        304.15","        306.30","        308.65","        303.35","        308.40","        307.70","        306.16","   11565161","      35408.40","     106653","    5209008","         45.04"
"SBIN","EQ","23-Dec-2014","        307.70","        307.60","        312.50","        306.25","        306.50","        307.20","        309.38","   12836868","      39714.15","     119061","    4147321","         32.31"
"SBIN","EQ","24-Dec-2014","        307.20","        306.00","        309.95","        305.00","        306.05","        305.75","        306.69","   14866629","      45594.40","      98442","    5692054","         38.29"
"SBIN","EQ","26-Dec-2014","        305.75","        306.85","        309.80","        306.05","        307.95","        307.65","        307.84","    7373519","      22698.82","      67785","    2305137","         31.26"
"SBIN","EQ","29-Dec-2014","        307.65","        309.50","        310.20","        307.00","        307.10","        307.55","        308.17","    7699059","      23726.14","      78041","    3281505","         42.62"
"SBIN","EQ","30-Dec-2014","        307.55","        308.20","        310.75","        306.00","        310.65","        309.75","        308.42","    8113742","      25024.26","      69322","    2459991","         30.32"
"SBIN","EQ","31-Dec-2014","        309.75","        310.05","        312.95","        310.00","        312.75","        311.85","        311.43","    6305857","      19638.50","      55077","    2487025","         39.44"
"SBIN","EQ","01-Jan-2015","        311.85","        312.45","        315.00","        310.70","        314.00","        314.00","        313.67","    6138488","      19254.89","      58688","    1877677","         30.59"
"SBIN","EQ","02-Jan-2015","        314.00","        314.35","        318.30","        314.35","        315.60","        315.25","        316.80","    9935094","      31473.89","      79553","    4221685","         42.49"
"SBIN","EQ","05-Jan-2015","        315.25","        316.25","        316.80","        312.10","        312.80","        312.75","        313.84","    9136716","      28674.32","      88236","    3845173","         42.08"
"SBIN","EQ","06-Jan-2015","        312.75","        310.00","        311.10","        298.70","        299.90","        299.90","        305.14","   15329257","      46776.01","     169268","    7424847","         48.44"
"SBIN","EQ","07-Jan-2015","        299.90","        300.00","        302.55","        295.15","        301.40","        300.15","        299.95","   15046745","      45132.43","     147185","    5631400","         37.43"
"SBIN","EQ","08-Jan-2015","        300.15","        305.00","        306.50","        302.35","        305.25","        304.85","        304.55","    8939749","      27225.93","      85776","    3656015","         40.90"
"SBIN","EQ","09-Jan-2015","        304.85","        306.70","        307.85","        302.00","        303.00","        303.20","        304.45","   11953948","      36393.61","      86383","    4412814","         36.92"
"SBIN","EQ","12-Jan-2015","        303.20","        304.15","        307.80","        301.10","        306.90","        307.10","        305.86","    8536142","      26109.06","      71620","    3737137","         43.78"
"SBIN","EQ","13-Jan-2015","        307.10","        308.15","        310.75","        304.15","        305.25","        305.10","        308.22","    9484804","      29234.06","      94825","    4149653","         43.75"
"SBIN","EQ","14-Jan-2015","        305.10","        304.00","        307.00","        302.25","        305.00","        304.70","        304.80","    8855660","      26991.65","     105452","    3883613","         43.85"
"SBIN","EQ","15-Jan-2015","        304.70","        319.90","        323.70","        314.00","        318.40","        320.30","        318.25","   30729523","      97796.01","     218045","   16753491","         54.52"
"SBIN","EQ","16-Jan-2015","        320.30","        320.00","        320.30","        313.10","        315.25","        315.45","        315.40","   21598514","      68122.25","     162231","   13954451","         64.61"
"SBIN","EQ","19-Jan-2015","        315.45","        316.55","        317.95","        312.50","        313.20","        313.15","        314.35","    9975658","      31358.78","      77913","    5438078","         54.51"
"SBIN","EQ","20-Jan-2015","        313.15","        314.00","        319.80","        314.00","        318.00","        318.15","        317.62","   13104643","      41623.11","     102056","    6645980","         50.71"
"SBIN","EQ","21-Jan-2015","        318.15","        319.90","        327.60","        319.00","        326.00","        326.20","        325.29","   22617660","      73572.45","     218767","   10822432","         47.85"
"SBIN","EQ","22-Jan-2015","        326.20","        326.90","        327.60","        321.80","        325.20","        324.65","        324.02","   12232626","      39636.51","     134697","    5893345","         48.18"
